,index_content,word,nature,content_type,index_word
2,1,企业,n,pos,2
4,1,生,vn,pos,4
11,2,大学,n,pos,4
23,3,师生,nr,pos,1
28,3,素质,n,pos,3
46,4,嘴脸,n,pos,3
49,5,网暴,n,pos,1
51,5,声明,n,pos,3
53,6,男厕所,n,pos,1
55,6,女厕所,n,pos,3
59,6,男生,n,pos,4
61,6,免费,vn,pos,6
62,6,纸,n,pos,7
64,6,男,n,pos,9
65,6,学生,n,pos,10
66,6,处分,n,pos,11
70,6,张薇,nr,pos,14
78,6,男卑,n,pos,19
79,6,思想,n,pos,20
81,6,三观,nz,pos,21
88,7,办法,n,pos,2
90,7,男生,n,pos,3
94,7,阉,n,pos,4
101,7,男厕所,n,pos,5
105,9,香槟,n,pos,2
109,10,小丑,nr,pos,3
111,10,小丑,nr,pos,5
112,10,热度,n,pos,6
113,11,地铁,n,pos,1
114,11,污女,n,pos,2
117,11,头牌,n,pos,4
121,11,档级,n,pos,5
128,13,素质,n,pos,2
137,14,热度,n,pos,3
142,14,企业,n,pos,5
147,14,事情,n,pos,7
151,15,事情,n,pos,1
158,15,情商,n,pos,4
161,15,弱质,n,pos,5
171,16,节奏,n,pos,4
173,16,媒体,n,pos,5
175,16,舆论压力,n,pos,6
179,16,当事人,n,pos,7
184,16,情况,n,pos,11
189,16,留校察看,n,pos,12
196,16,措施,n,pos,15
204,16,评论,n,pos,17
205,16,区,n,pos,18
207,16,楼主,n,pos,19
214,16,措施,n,pos,23
218,16,影响,vn,pos,25
225,16,公司,n,pos,28
229,16,热度,n,pos,30
233,16,单位,n,pos,31
240,16,措施,n,pos,33
243,16,记录,n,pos,34
244,16,档案,n,pos,35
248,16,体制,n,pos,37
250,16,条路,n,pos,38
252,16,政审,n,pos,39
259,16,学校,n,pos,41
262,16,教书育人,n,pos,43
263,16,地方,n,pos,44
266,16,当事人,n,pos,45
269,16,情况,n,pos,47
276,16,学籍,n,pos,50
281,16,评论,n,pos,52
282,16,区,n,pos,53
284,16,无端,n,pos,54
285,16,猜测,vn,pos,55
288,16,跳梁小丑,n,pos,57
294,17,力量,n,pos,1
304,17,企业,n,pos,5
308,18,学生,n,pos,1
310,18,斗争,vn,pos,2
312,18,校领导,n,pos,3
324,19,学校,n,pos,1
325,19,实力,n,pos,2
342,20,学生,n,pos,1
352,21,公司,n,pos,1
357,21,北,ns,pos,3
358,21,毕业生,n,pos,4
362,23,注册资本,n,pos,1
364,23,人数,n,pos,3
369,23,典型,n,pos,6
370,23,皮包公司,n,pos,7
374,24,公司,n,pos,1
376,24,通告,n,pos,3
380,24,事儿,n,pos,4
381,24,影响力,n,pos,5
389,24,公司,n,pos,7
396,24,考量,n,pos,10
399,25,通告,n,pos,2
403,25,热度,n,pos,5
421,26,评论,n,pos,1
422,26,区,n,pos,2
427,26,建议,n,pos,4
435,27,素质,n,pos,1
437,27,学生,n,pos,2
