,index_content,word,nature,content_type,index_word
0,1,越来越,d,pos,1
2,1,企业,n,pos,2
3,1,拒绝,v,pos,3
4,1,生,vn,pos,4
6,2,不愧,a,pos,1
8,2,双,m,pos,2
10,2,留,v,pos,3
11,2,大学,n,pos,4
12,2,前,f,pos,5
13,2,几年,m,pos,6
16,2,点名,v,pos,7
17,2,批评,v,pos,8
19,2,不知悔改,i,pos,9
20,2,知法犯法,l,pos,10
22,2,包庇,v,pos,11
23,3,师生,nr,pos,1
26,3,展示,v,pos,2
28,3,素质,n,pos,3
31,3,收,v,pos,4
39,4,正好,a,pos,1
41,4,几天,m,pos,2
46,4,嘴脸,n,pos,3
49,5,网暴,n,pos,1
50,5,撤销,v,pos,2
51,5,声明,n,pos,3
53,6,男厕所,n,pos,1
54,6,改,v,pos,2
55,6,女厕所,n,pos,3
59,6,男生,n,pos,4
60,6,发,v,pos,5
61,6,免费,vn,pos,6
62,6,纸,n,pos,7
63,6,尿布,v,pos,8
64,6,男,n,pos,9
65,6,学生,n,pos,10
66,6,处分,n,pos,11
68,6,轻易,a,pos,12
69,6,放过,v,pos,13
70,6,张薇,nr,pos,14
71,6,种种,q,pos,15
74,6,显示,v,pos,16
76,6,女,b,pos,17
77,6,尊,q,pos,18
78,6,男卑,n,pos,19
79,6,思想,n,pos,20
81,6,三观,nz,pos,21
82,6,不正,d,pos,22
85,7,想到,v,pos,1
88,7,办法,n,pos,2
90,7,男生,n,pos,3
94,7,阉,n,pos,4
101,7,男厕所,n,pos,5
103,8,支持,v,pos,1
104,9,开,v,pos,1
105,9,香槟,n,pos,2
106,10,鉴定,v,pos,1
108,10,一群,m,pos,2
109,10,小丑,nr,pos,3
110,10,蹭,v,pos,4
111,10,小丑,nr,pos,5
112,10,热度,n,pos,6
113,11,地铁,n,pos,1
114,11,污女,n,pos,2
116,11,该校,r,pos,3
117,11,头牌,n,pos,4
121,11,档级,n,pos,5
126,13,展示,v,pos,1
128,13,素质,n,pos,2
131,13,收,v,pos,3
134,14,确实,ad,pos,1
136,14,蹭,v,pos,2
137,14,热度,n,pos,3
138,14,嫌疑,v,pos,4
142,14,企业,n,pos,5
144,14,抵制,v,pos,6
