content,content_type,Column3,Column4
越来越多企业拒绝川大生。,pos,,
不愧是双一留大学前几年就被点名批评过不知悔改知法犯法还包庇,pos,,
川大师生直接得展示了他们的素质 不收真是对的,pos,,
这不挺好的吗，正好这几天也见了不少川大人的嘴脸,pos,,
已经被网暴撤销声明了,pos,,
川大把男厕所改女厕所，把给男生发免费纸尿布的男学生处分，轻易放过张薇种种行为都显示了川大是女尊男卑思想，三观不正。,pos,,
我想到了一个好办法，川大的男生都把自己阉了，这样不就不需要男厕所了吗？,pos,,
支持,pos,,
开香槟咯,pos,,
鉴定为一群小丑蹭小丑热度,pos,,
地铁污女可是该校头牌，现在还有档级呢！,pos,,
该,pos,,
川大直接得展示了他们的素质 不收真是对的,pos,,
确实有蹭热度嫌疑，要是大企业也抵制，那事情就有意思了,pos,,
这种事情发出来的才是真的没情商的，和弱质没两样,pos,,
川大真是厉害，抵制住了这些带节奏的自媒体和舆论压力，同时在当事人不追究选择和解的情况下，以“留校察看”和“留党察看”的处罚措施，已经是很有力的处罚了。评论区以及楼主所说的反噬其实对这些处罚措施以及所带来的影响完全不懂，那几个公司完全就是蹭热度而已，这种单位不去也罢。这些处罚措施是会记录档案的，就考体制这条路都政审而言，就已经断绝了。学校终究是教书育人的地方，在当事人都和解的情况下，是不会做出开除学籍等操作的，至于评论区一些无端猜测，真跳梁小丑一般。,pos,,
这就是人民的力量！支持，绝对支持！希望更多的企业参与进来！,pos,,
川大的学生不敢斗争自己的校领导，只敢喊一喊自己被外面歧视了,pos,,
川大：我们学校的实力你们看到了吧，犯多大事都能帮挡下，快来报读。,pos,,
对川大的学生 说“不！”,pos,,
是的！我们公司也宣布不招清北的毕业生。,pos,,
应该这样,pos,,
注册资本1600w参保人数0还是17年才创的，典型皮包公司,pos,,
虽说还有很多公司没发通告，但是这事儿影响力挺大的，估计以后更多公司招聘看简历的时候都要考量一下了,pos,,
发通告的少不了蹭热度、炒作等行为，但不发的才是最主要的，人家肯定有一定的想法,pos,,
评论区这就开洗了，建议和央视说道说道去,pos,,
就这素质 川大学生果然烂透了,pos,,
双滋哈哈，尿黄、尿糖的优先来把川大滋醒,pos,,
改名网暴大学咯,pos,,
有一个蹭热度的野鸡企业,pos,,
还一堆人说不应该牵扯别人区别对待，川大区别对待在先一句不提是吧，男女例子在那摆着呢，某些人真👻,pos,,
真正的大企业是不会害怕招到喜欢造谣和网暴的员工的，川大的同学们，不用担心，只要抵制你们的一定都是辣鸡企业，档抵制你们的话那就把档也列为辣鸡组织,pos,,
看吧，更多的企业都是暗暗拉黑川大毕业生。问就是正常的刷掉,pos,,
可以,pos,,
我觉得不招女的就行了，整个川大都不要有点扩大了,pos,,
有点道德绑架，其他川大学生何其无辜,pos,,
按照张w的说法，人家企业的权益没有受到侵犯，就不能提前规避风险吗？正常情况，市面上出现不合格产品，该商品是不是得全部下架，并追查生产企业。学校出现人渣了，学校不下架处理，消费者万一买到不合格的，学校负责吗？所以消费者有权选择不买你的产品！,pos,,
碰到此类事，是不是男的都会被开除？女的都会被留校察看保护一下？女人真幸福啊,pos,,
川大👻男缺个东厂，这地方尤其欢迎他们,pos,,
我是真不知道这张薇到底何德何能，为什么这么多人保她帮他说话？而且她到现在一点事没有？我很奇怪，她啥来头这么大能耐？家里非富即贵那种？,pos,,
众所周知四川大学是一所老牌女性学院，里面只有xxn和xxn的绿毛龟,pos,,
**运动机构,pos,,
不能说网暴要说抑郁，只有抑郁才能打败抑郁,pos,,
&#xF6A4,pos,,
我只想说:这个热度蹭的好！,pos,,
来老哥的工地上班，来了就有川带同学们的一口饭吃，川带的同学们别怕，咱们工地老哥永远对川带敞开大门。,pos,,
希望行政机关带头地址！不要让川大毕业生考公,pos,,
明明是鸭脖,pos,,
也就小企业发这种公告，大企业只做不说,pos,,
靠山山很大,pos,,
偷偷不招聘就行了，说那么多干什么，违法啊！,pos,,
就算是蹭热度也请多多益善,pos,,
最可怕的是川带不找自己的问题，还去翻这些公司的背景，然后进行攻击。果然是一丘之貉,pos,,
重大事件央视是应该说明正确处理方法的,pos,,
这种抵制虽然没实质性的作用，但是一旦多起来对川大的名声还是有一点影响的。当事人不追究的情况下真的很难处理,pos,,
如果清北人复交出这种事，用人单位还能勉强捏着鼻子用，毕竟人家的人真的强，你川大算啥？文不如西财理不如成电，连四川省内都不拔尖，能替代的太多了,pos,,
什么小仙女，那就是女鬼,pos,,
川大是不是有个xxn专业是A+？,pos,,
别自欺欺人，就算别人不公开说，在大厂里，几份简历，总要无理由淘汰一些，谁出名，那不就是撞枪口上,pos,,
大厂不好意思说影响不好，出这事小公司侮辱你大公司直接给你晒掉有可能为了面子招一个 但是大部分都受影响,pos,,
四川人是这样的,pos,,
家人们不用怕，看我豆瓣微博小红书百万xxn大军冲垮他！,pos,,
不招女的就性,pos,,
鉿蟆得壹钱庄夸夫雷入网许可证,pos,,
